animeTitle	Love Live! Superstar!!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.07
animeUsers	9921
animeRank	
animePopularity	2736
animeDescription	"Everyone has a dream they strive to achieve, and so does the musically talented Kanon Shibuya. However, due to her stage fright, Kanon fails to make it into Yuigaoka Girls' High School's music program and instead ends up in the general curriculum. Even though Kanon makes the conscious decision to quit music altogether, her classmate Tang Keke rekindles Kanon's passion for music with her own: a passion for school idols.

Although Keke and Kanon try to form a school idol group, their effort meets strong objections from Ren Hazuki, the daughter of the school's director. Even so, the girls soon visit the director, who allows them to set up their school idol club under one condition—they must win first place at the Yoyogi School Idol Festival.

The resilience of these aspiring idols is put to the test as they face the challenges that come their way. Throughout their journey, the girls make new friends and meet new members that join them to become the dazzling idols others can only imagine.

[Written by MAL Rewrite]"
animeRelated	['Love Live! Superstar!! Futari no jikan! ~Special times~ Kanon & koi hen', 'Love Live! School Idol Project', '', 'Love Live! Superstar!! 2nd Season']
animeCharacters	['Shibuya, Kanon', 'Tang, Keke', 'Heanna, Sumire', 'Arashi, Chisato', 'Hazuki, Ren', 'Saya', 'Hiiragi, Mao', 'Hijirisawa, Yuuna', 'Director', 'Chibi']
animeVoices	['Date, Sayuri', 'Liyuu', 'Payton, Naomi', 'Misaki, Nako', 'Aoyama, Nagisa', 'Hanazawa, Kana', 'Yuuki, Yuna', 'Park, Romi', 'Mugiho, Anna']
animeStaff	[['Kyougoku, Takahiko', 'Director'], ['Fujisawa, Yoshiaki', 'Music'], ['Hanada, Jukki', 'Series Composition'], ['Yatate, Hajime', 'Original Creator']]
