animeTitle	b'Ie Naki Ko Remy'
animeType	b'TV'
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	7.92
animeUsers	7440
animeRank	
animePopularity	
animeDescription	"b""Remy, a cheerful and tender-hearted girl, lives with her mother in a French country town. One day her father returns to the town after a long period working away from home in a city. Her father tells Remy that she isn't their real daughter, and Remy is almost sold to an evil slave trader. It is Vitalis, a strolling entertainer, who helps Remy. Vitalis discovers her talent for singing and decides to take her in with his troupe.\n\n(Source: ANN)"""
animeRelated	[b'Ie Naki Ko', b'Chibikko Remi to Meiken Kapi', b'Ie Naki Ko Remy Specials', b'Ie Naki Ko Remy Specials (2001)']
animeCharacters	[b'Barberin, Remi', b'Vitalis', b'Mattia', b'Mrs. Milligan', b'Mr. Naval', b'Ramon', b'Nelly', b'Barberin, Anne', b'Joli-Coeur', b'Jeanne']
animeVoices	[b'\nHorie, Mitsuko\nJapanese\n', b'\nYamano, Fumito\nJapanese\n', b'\nAdachi, Shinobu\nJapanese\n', b'\nYamada, Eiko\nJapanese\n', b'\nCho\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nHironaka, Kumiko\nJapanese\n', b'\nSatou, Chie\nJapanese\n', b'\nSugimoto, Saori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKusuba, Kouzou\n\nDirector, Storyboard\n\n', b'\nTakagi, Jun\n\nEpisode Director, Storyboard\n\n', b'\nShimada, Michiru\n\nScript\n\n', b'\nHattori, Katsuhisa\n\nMusic\n\n']
