animeTitle	The iDOLM@STER Cinderella Girls 2nd Anniversary PV
animeType	Music
animeNumEpisode	1
releaseDate	2013-11-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	1439
animeRank	
animePopularity	7646
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['The iDOLM@STER Cinderella Girls']
animeCharacters	['Shibuya, Rin', 'Kanzaki, Ranko', 'Shimamura, Uzuki', 'Jougasaki, Mika', 'Honda, Mio', 'Jougasaki, Rika', 'Mimura, Kanako', 'Tada, Riina', 'Kohinata, Miho']
animeVoices	['Fukuhara, Ayaka', 'Uchida, Maaya', 'Ohashi, Ayaka', 'Yoshimura, Haruka', 'Hara, Sayuri', 'Yamamoto, Nozomi', 'Ootsubo, Yuka', 'Aoki, Ruriko', 'Tsuda, Minami']
animeStaff	[['Takao, Noriko', 'Director, Episode Director, Storyboard'], ['Uchida, Maaya', 'Theme Song Performance'], ['Ohashi, Ayaka', 'Theme Song Performance'], ['Tsuda, Minami', 'Theme Song Performance']]
