animeTitle	Shin Kujakuou
animeType	OVA
animeNumEpisode	2
releaseDate	1994-05-20 00:00:00
endDate	1994-06-17 00:00:00
animeNumMembers	1864
animeScore	5.88
animeUsers	580
animeRank	9104
animePopularity	9616
animeDescription	"A young mystic without a past, Kujaku was born under a dark omen possessed of incredible supernatural powers. Raised by priests, he has learned to use these powers for good. But the evil Siegfried von Mittgard seeks to steal his birthright, and rule the world as the Regent of Darkness. He has dispatched bloodthirsty minions to destroy Kujaku before he can awaken to his destiny. Now, Kujaku must unravel the riddle of his past, before the power within consumes him! 

(Source: AniDB) "
animeRelated	['Kujakuou', 'Kujakuou: Sengoku Tensei', '']
animeCharacters	['Ko, Kaiho', 'Ashura', 'Tomoko', 'Kujaku', 'Jiku', 'Haushoffer', 'Kujakuou', 'Jikaku', 'Onimaru', 'Tsukuyomi']
animeVoices	['Wakamoto, Norio', 'Itou, Miki', 'Hidaka, Noriko', 'Tsujitani, Kouji', 'Nagai, Ichiro', 'Ishizuka, Unshou', 'Ishii, Kouji', 'Hori, Katsunosuke', 'Yara, Yuusaku', 'Tsuru, Hiromi']
animeStaff	[['Rintaro', 'Director'], ['Endou, Takuji', 'Episode Director'], ['Mima, Masafumi', 'Music'], ['Oishi, Tatsuya', 'In-Between Animation']]
