animeTitle	b'Sakura Nagashi'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.0
animeUsers	2929
animeRank	
animePopularity	
animeDescription	"b'Singer Hikaru Utada\'s YouTube channel began streaming a music video for her song ""Sakura Nagashi,"" the theme song for Evangelion: 3.33 You Can (Not) Redo, set to scenes from the film. The music video features cuts that were not used in the original film. The video was available for 24 hours.\n\n(Source: ANN)'"
animeRelated	[b'Evangelion: 3.0 You Can (Not) Redo']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
