animeTitle	Masou Kishin Cybuster
animeType	TV
animeNumEpisode	26
releaseDate	1999-05-03 00:00:00
endDate	1999-10-25 00:00:00
animeNumMembers	
animeScore	6.09
animeUsers	745
animeRank	
animePopularity	8578
animeDescription	" In an enviromentally wrecked future Tokyo, a young man named Ken Ando joins an organization called DC. Little does he realize that his fate and that of Earth will be linked to a mysterious mecha from another world. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Kamijo, Mizuki', 'Ando, Ken', 'Ozaki, Nanase', 'Kamijo, Itetsu', 'Masaki', 'Frank, Lyune', 'Ando, Sayuri', 'Zoldark, Shu', 'Ando, Ryuzo', 'Grace, Saphine']
animeVoices	['Masuda, Yuki', 'Oda, Yuusei', 'Kobayashi, Yumiko', 'Odaka, Sanryo', 'Mutou, Sumi', 'Nagata, Ryoko', 'Negishi, Akira', 'Morita, Junpei', 'Miura, Naoko']
animeStaff	[['Ueda, Hidehito', 'Director, Episode Director, Storyboard'], ['Tsuchiya, Hiroyuki', 'Episode Director'], ['Okuda, Seiji', 'Storyboard'], ['Endoh, Masaaki', 'Theme Song Performance']]
