animeTitle	b'Ryuusei no Rockman'
animeType	b'TV'
animeNumEpisode	55
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	4910
animeRank	
animePopularity	
animeDescription	"b""In the year 220X, the world has advanced toward radio-wave technology, and the world is connected through the Wave Road. Meet Subaru Hoshikawa, a fifth-grade student who lost his father in a space accident. Subaru meets an extraterrestrial radio-wave being named War-Rock, descending from a distant FM planet. War-Rock claims to know about Subaru's father, but many alien beings are after War-Rock. The two work together and merge into Rockman, a radio-wave human capable of traversing the Wave Road and battling the radio-wave viruses and FMs that threaten the Earth.\n\n(Source: ANN)"""
animeRelated	[b'Ryuusei no Rockman', b'Rockman Hoshi ni Negai wo', b'Irregular Hunter X: The Day of Sigma', b'Rockman.EXE Beast+', b'Ryuusei no Rockman Tribe']
animeCharacters	[b'Hibiki, Misora', b'Hoshikawa, Subaru', b'Shooting Star Rockman', b'Shirogane, Luna', b'War-Rock', b'Futaba, Tsukasa']
animeVoices	[b'\nFukuen, Misato\nJapanese\n', b'\nOno, Fuyuka\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nItou, Kentarou\nJapanese\n', b'\nKaida, Yuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKato, Takao\n\nDirector, Storyboard\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nTakahashi, Hideya\n\nEpisode Director\n\n', b'\nAraki, Kenichi\n\nScript, Series Composition\n\n']
