animeTitle	RoboMasters the Animated Series
animeType	TV
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	2332
animeRank	
animePopularity	4990
animeDescription	"The series will depict college students as they prepare and participate in a RoboMasters tournament.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Tantan', 'Tei', 'Xiao Ai', 'Shou', 'Chinmei', 'You-sensei', 'Luu', 'Sou', 'Han', 'Chou']
animeVoices	['Yamashita, Daiki', 'Umehara, Yuuichirou', 'Ookubo, Rumi', 'Lynn', 'Tokuishi, Katsuhiro', 'Kobatake, Masafumi', 'Watanabe, Takumi', 'Tsuchida, Reiou', 'Sekine, Akira', 'Onozuka, Takashi']
animeStaff	[['Yamamoto, Yasutaka', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['un:c', 'Theme Song Performance'], ['Ceo, Yusuke', 'Theme Song Composition']]
