animeTitle	Shin Getter Robo tai Neo Getter Robo
animeType	OVA
animeNumEpisode	4
releaseDate	2000-12-21 00:00:00
endDate	2001-06-25 00:00:00
animeNumMembers	
animeScore	7.06
animeUsers	2416
animeRank	
animePopularity	7061
animeDescription	"Years after the defeat of the Reptilian Empire, Getter Team has begun training on a new super robot, Neo Getter Robo. But a surprise attack from the Empire's revived leader forces them to recruit a street fighter named Go Ichimonji as Getter One's pilot. Faced with an enormously powerful foe, the new team's only hope for victory may lie in the resurrection of the lost weapon of humanity, Shin Getter Robo.

(Source: ANN)"
animeRelated	['Getter Robo', 'Getter Robo Go', 'Dynamic Super Robots Soushingekki']
animeCharacters	['Nagare, Ryouma', 'Jin, Hayato', 'Ichimonji, Go', 'Daido, Gai', 'Tachibana, Sho', 'Tomoe, Musashi', 'Professor Saotome', 'Shikishima', 'Bat', 'King, Jack']
animeVoices	['Ishikawa, Hideo', 'Uchida, Naoya', 'Sakurai, Takahiro', 'Sakurai, Toshiharu', 'Asakawa, Yuu', 'Tomita, Kousei', 'Yanami, Jouji', 'Wakamoto, Norio', 'Nishiwaki, Tamotsu']
animeStaff	[['Watanabe, Shigeru', 'Producer'], ['Kawagoe, Jun', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Terahigashi, Katsumi', 'Storyboard']]
