animeTitle	Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!
animeType	OVA
animeNumEpisode	1
releaseDate	2006-12-08 00:00:00
endDate	
animeNumMembers	
animeScore	7.18
animeUsers	16776
animeRank	
animePopularity	3134
animeDescription	Yuji and Shana's class go on a trip to see various temples and shrines, followed by a trip to a hot springs resort. During the trip, Matake Ogata tries to tell Eita Tanaka her feelings for him, but various complications and hijinks occur that prevent her from doing so. 
animeRelated	['Shakugan no Shana']
animeCharacters	['Shana', 'Sakai, Yuuji', 'Yoshida, Kazumi', 'Satou, Keisaku', 'Ogata, Matake', 'Ike, Hayato', 'Tanaka, Eita', 'Daw, Margery', 'Alastor', 'Marchosias']
animeVoices	['Kugimiya, Rie', 'Hino, Satoshi', 'Kawasumi, Ayako', 'Nojima, Kenji', 'Kobayashi, Yumiko', 'Nojima, Hirofumi', 'Kondou, Takayuki', 'Nabatame, Hitomi', 'Ebara, Masashi', 'Iwata, Mitsuo']
animeStaff	[['Watanabe, Takashi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Ikehata, Takashi', 'Episode Director, Storyboard'], ['Kawada, Mami', 'Theme Song Lyrics, Theme Song Performance']]
