animeTitle	Beyblade Burst
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	12148
animeRank	
animePopularity	3758
animeDescription	"The story revolves around Valt Aoi and Shu Kurenai as well as their teammates, Rantaro Kiyama, Daigo Kurogami and Wakiya Murasaki at the Beigoma Academy school in Japan. When not studying, the close friends are obsessed with their Beyblade, creating a school bey club later in the season and challenging each other to battles at their Bey Stadium. The friends eventually become friendly rivals as they compete against each other in a competition to claim the title of Japan’s top Blader.

(Source: Beyblade Wiki)"
animeRelated	['Beyblade Burst', 'Metal Fight Beyblade', 'Metal Fight Beyblade Zero G', 'Beyblade Burst God', '40 Shuunen Da yo!! CoroCoro All-Star Shougakkou']
animeCharacters	['Kurenai, Shuu', 'Aoi, Valt', 'Kiyama, Rantarou', 'Kurogami, Daina', 'Midorikawa, Kensuke', 'Shirasagijou, Lui', 'Komurasaki, Wakiya', 'Aizawa, Jin', 'Kurogane, Zenkurou', 'Minamo, Naoki']
animeVoices	['Enoki, Junya', 'Inoue, Marina', 'Okabayashi, Fumihiro', 'Takagaki, Ayahi', 'Yonaga, Tsubasa', 'Park, Romi', 'Kobayashi, Yuu', 'Matsuda, Satsumi', 'Namikawa, Daisuke', 'Nogami, Shou']
animeStaff	[['Akiyama, Katsuhito', 'Director'], ['Matsuoka, Hiroki', 'Sound Director'], ['Takada, Masatoyo', 'Episode Director'], ['Kawagoe, Kazuki', 'Episode Director']]
