animeTitle	b'Cat Shit One'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	16547
animeRank	
animePopularity	
animeDescription	"b'This bold account follows the brave exploits of Sergeant ""Packy"" Perkins and his unit... of rabbits! Join Packy and Private ""Bota"" Botasky as they resolve an Iranian hostage crisis. Watch these commando-style bunnies through an anthropomorphic lens as events unfold and violence erupts.\n\nNote: This anime has been provisionally set to ""Finished Airing"" due to lack of official information regarding future installments.'"
animeRelated	[b'Cat Shit One']
animeCharacters	[b'Perkins', b'Botasky', b'Bowen', b'CP']
animeVoices	[b'\nTsuchida, Hiroshi\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nNitta, Masashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasahara, Kazuya\n\nDirector, Screenplay\n\n', b'\nKobayashi, Motofumi\n\nOriginal Creator\n\n']
