animeTitle	Supermarket Flowers
animeType	Music
animeNumEpisode	1
releaseDate	2019-04-03 00:00:00
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	104
animeRank	
animePopularity	16207
animeDescription	"An animated music video of Ed Sheeran’s song Supermarket Flowers from his third studio album, ""÷(divide)"". The video was directed by Yoriko Hoshi, who’s a winner of a prestigious award: Tezuka Osamu Cultural Prize. The video consists of a heartwarming story, featuring Ed Sheeran and his beloved cats, Calippo and Dorito."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
