animeTitle	b'Fetikano!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	2176
animeRank	
animePopularity	
animeDescription	b'While walking home one day, Shuu encountered Hime, a beautiful girl who walked out of a flower shop\xe2\x80\x94it was love at first sight. In the present, Shuu and Hime live together as a couple. Every day, Shuu comes up with a new lewd activity to try out with his girlfriend\xe2\x80\x94and while Hime intends to always act like a victim, she enjoys all the kinks just as much as he does.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Fetikano!']
animeCharacters	[b'Hime', b'Shuu']
animeVoices	[b'\nIino, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOoyama, Takashi\n\nDirector\n\n', b'\nShinkai, Kouki\n\nEditing\n\n', b'\nLapisLazuli\n\nOriginal Creator\n\n']
