animeTitle	b'Oedo wa Nemurenai!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	314
animeRank	
animePopularity	
animeDescription	"b""We are now in the early 18th century, the Kyouhou era, when the merchant culture was flourishing. In Yoshiwara, the red light district of Edo, there is a popular courtesan with good looks and character, called Usugumo. She in fact is a daughter of a Christianized prostitute and Tokugawa Yoshimune (who was a real historical character and the 8th Shogun of Japan), but the power struggle in these times doesn't allow her to be with her father. Her fate is about to change when she meets the blond haired thief, Kikunosuke. With Kikunosuke, a doctor named Aoto Touichirou, who uses the yet unfamiliar Western medicine, and her pet cat, Kotetsu, Usugumo forms a thief group, the Kikugumi. In the meanwhile, a member of a mysterious group appears, aiming for Usugumo... \n\n(Source: AniDB)"""
animeRelated	[b'Oedo wa Nemurenai!']
animeCharacters	[b'Usugumo', b'Bentenyama, Kikunosuke', b'Shigeyoshi', b'Kawarabanya', b'Suzaku', b'Puppeteer', b'Miuraya', b'Townsman A', b'Wakadono', b'Touichirou, Aoto']
animeVoices	[b'\nHidaka, Noriko\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nFukuda, Nobuaki\nJapanese\n', b'\nNakamura, Daiki\nJapanese\n', b'\nOomori, Akimasa\nJapanese\n', b'\nKomiyama, Kiyoshi\nJapanese\n', b'\nHashi, Takaya\nJapanese\n', b'\nTomita, Kousuke\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakeda, Yuusuke\n\nBackground Art\n\n', b'\nItou, Hidetsugu\n\nIn-Between Animation\n\n', b'\nKatou, Hiroshi\n\nArt Director, Background Art\n\n', b'\nFujikawa, Futoshi\n\nAssistant Animation Director\n\n']
