animeTitle	b'Kenji no Trunk'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'An omnibus movie consisting of three stories by Miyazawa Kenji. '
animeRelated	[]
animeCharacters	[b'Sailor']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakamura, Ryuutarou\n\nDirector\n\n', b'\nMiyazawa, Kenji\n\nOriginal Creator\n\n', b'\nYanagawa, Shigeru\n\nScreenplay\n\n']
