animeTitle	b'Wei\xc3\x9f Survive R'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	4595
animeRank	
animePopularity	
animeDescription	b'The second season of Wei\xc3\x9f Survive.'
animeRelated	[b'Wei\xc3\x9f Survive']
animeCharacters	[b'Michi', b'Takeshi', b'VS-jii-san', b'Operetta', b'Shizuru', b'Coo', b'Cal', b'Shisu']
animeVoices	[b'\nKitta, Izumi\nJapanese\n', b'\nNakamoto, Nobuhisa\nJapanese\n', b'\nEnomoto, Atsuko\nJapanese\n', b'\nSuzuki, Yuto\nJapanese\n', b'\nNanjou, Yoshino\nJapanese\n', b'\nMiruno, Jun\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSetou, Kenji\n\nDirector\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nYoshihara, Tatsuya\n\nAnimation Director, Key Animation\n\n', b'\nFujima, Takuya\n\nOriginal Creator\n\n']
