animeTitle	b'Mushi Mushi Mura no Nakama-tachi: Minna Ii Toko Arun Da yo'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'An educational film about traffic safety starring insects. This film tackles bullying between friends.'
animeRelated	[b'Jishin ga Kitarou Dousuru? Mushi Mushi Mura no Bousai Kunren', b'Tobidashi wa Abunaizo! Mushi Mushi Mura no Koutsuu Anzen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
