animeTitle	Bonobono
animeType	Movie
animeNumEpisode	1
releaseDate	1993-11-13 00:00:00
endDate	
animeNumMembers	479
animeScore	6.05
animeUsers	127
animeRank	8440
animePopularity	13075
animeDescription	The first theatrical Bonobono movie.
animeRelated	['Bonobono', 'Bonobono (TV)', 'Bonobono: Kumomo no Ki no Koto']
animeCharacters	['Bonobono', 'Shimarisu', 'Araiguma', 'Sunadorineko', 'Araiguma-kun no Otousan']
animeVoices	['Fujita, Toshiko', 'Baba, Sumie', 'Yara, Yuusaku', 'Ootsuka, Houchuu', 'Otsuka, Chikao']
animeStaff	[['Asami, Takashi', 'Episode Director, Storyboard'], ['Gontiti', 'Music'], ['Mutou, Yuuji', 'Chief Animation Director'], ['Igarashi, Mikio', 'Original Creator']]
