animeTitle	Macross 7 Movie: Ginga ga Ore wo Yondeiru!
animeType	Movie
animeNumEpisode	1
releaseDate	1995-09-30 00:00:00
endDate	
animeNumMembers	
animeScore	6.92
animeUsers	3804
animeRank	
animePopularity	5743
animeDescription	"While investigating a sound anomaly across the galaxy, Basara crash-lands on a snowy planet and receives an unfriendly welcome from the local residents. On the planet, he befriends Pedro, a four-year-old boy who watches the Galaxy Network and idolizes Fire Bomber. Basara also discovers that the sound he's searching for is generated by Emilia, a lone Meltrandi struggling to make music of her own.

(Source: ANN)"
animeRelated	['Macross 7']
animeCharacters	['Nekki, Basara', 'Jenius, Emilia', 'Pedro', 'Jenius, Mylene Flare', 'Kizaki, Gamlin', 'Flower Girl', 'Feaze, Veffidas', 'Lovelock, Ray', 'Margarita', 'Miguel']
animeVoices	['Canna, Nobutoshi', 'Neya, Michiko', 'Koorogi, Satomi', 'Sakurai, Tomo', 'Koyasu, Takehito', 'Nakagawa, Akiko', 'Takano, Urara', 'Sugawara, Masashi', 'Tanaka, Atsuko', 'Matsuo, Ginzou']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Fukuyama, Yoshiki', 'Theme Song Performance'], ['Fire Bomber', 'Theme Song Performance, Inserted Song Performance']]
