animeTitle	b'Tetsuwan Birdy'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	9022
animeRank	
animePopularity	
animeDescription	b'Tsutomu, an average middle school kid busy studying for the final exams to enter high school runs into a man running from someone and gets caught up in the chase. In all the confusion he gets accidentally killed. Luckily Birdy (an interplanetary agent) knows a way to save him, unfortunately that means joining bodies to become one. So now he is stuck with this officer and along for the ride capturing criminals and saving lives.\n\n(Source: ANN)'
animeRelated	[b'Tetsuwan Birdy', b'Tetsuwan Birdy Decode']
animeCharacters	[b'Altera, Birdy Cephon', b'Senkawa, Tsutomu', b'Hayamiya, Natsumi', b'Gomez, George', b'Megius', b'Revi, Christella', b'Bachilus', b'Senkawa, Hazumi']
animeVoices	[b'\nMitsuishi, Kotono\nJapanese\n', b'\nIwanaga, Tetsuya\nJapanese\n', b'\nYukana\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nKiyokawa, Motomu\nJapanese\n', b'\nHyoudou, Mako\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n', b'\nChiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIzubuchi, Yutaka\n\nProducer, Character Design\n\n', b'\nYoshimoto, Satoshi\n\nProducer\n\n', b'\nKawajiri, Yoshiaki\n\nDirector, Episode Director, Storyboard, Screenplay, Key Animation\n\n', b'\nMikasa, Osamu\n\nEpisode Director\n\n']
