animeTitle	Nora
animeType	OVA
animeNumEpisode	1
releaseDate	1985-01-21 00:00:00
endDate	
animeNumMembers	2225
animeScore	4.39
animeUsers	928
animeRank	11879
animePopularity	9146
animeDescription	"Nora is on vacation in a ""Holiday Inn"" space station. When the artificial gravity fails, the whole space resort becomes chaotic but she helps solve the problem. 

(Source: ANN)"
animeRelated	['Nora no Hakobune', 'Twinkle Nora Rock Me!']
animeCharacters	['Scholar, Nora', 'Dr. Zachariasen', 'Fat Lady', 'Stewardess', 'Newscaster', 'Official', 'Chief', 'Pecanson, Edward', 'Artifiend', 'Professor Doherty']
animeVoices	['Yamamoto, Yuriko', 'Utsumi, Kenji', 'Mukaidono, Asami', 'Yamada, Eiko', 'Shioya, Kouzou', 'Hirose, Masashi', 'Ginga, Banjou', 'Nojima, Akio', 'Nakamura, Shuusei', 'Nagai, Ichiro']
animeStaff	[['Yamamoto, Mataichirou', 'Producer'], ['Yamakawa, Norio', 'Producer, Planning'], ['Mikuriya, Satomi', 'Director, Script, Storyboard, Character Design, Setting, Original Creator'], ['Nakata, Reiko', 'Script']]
