animeTitle	Kick-Heart
animeType	Movie
animeNumEpisode	1
releaseDate	2013-05-26 00:00:00
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	9672
animeRank	
animePopularity	4185
animeDescription	"By day, Romeo Maki is a respectable man who loves bringing gifts to the local orphanage, and Juliet is a newly employed nun working at said orphanage. However, by night, they are Masked Man M and Lady S, popular professional wrestlers. Kick-Heart tells the story of what happens when this dynamic pair meet in the ring, the only place where they can express their hidden desires.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Juliet', 'Maki, Romeo', 'Devil Chicken', 'Vacuum Fat', 'Sister', 'Boss', 'Father']
animeVoices	['Honda, Takako', 'Suzuki, Tatsuhisa', 'Matsumoto, Shinobu', 'Satou, Miyuki', 'Nitta, Makiko', 'Kanuka, Mitsuaki', 'Takagi, Wataru']
animeStaff	[['Oshii, Mamoru', 'Producer'], ['Leach, Justin', 'Producer'], ['Yuasa, Masaaki', 'Director, Key Animation'], ['Epcar, Richard', 'ADR Director']]
