animeTitle	b'Triage X: Recollection XOXO'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	8501
animeRank	
animePopularity	
animeDescription	b'Unaired episode 11 of the Triage X series bundled with the 12th manga volume.'
animeRelated	[b'Triage X']
animeCharacters	[b'Hitsugi, Sayo', b'Sagiri, Yuuko', b'Tsurugi, Miki', b'Kiba, Mikoto', b'Mikami, Arashi', b'Nashida, Oriha', b'Winchester, Fiona Ran', b'Inunaki, Shinichirou', b'Mochizuki, Masamune']
animeVoices	[b'\nShiraishi, Ryouko\nJapanese\n', b'\nOno, Fuyuka\nJapanese\n', b'\nAsano, Masumi\nJapanese\n', b'\nKondou, Yui\nJapanese\n', b'\nAkabane, Kenji\nJapanese\n', b'\nSatou, Amina\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nKuroda, Takaya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Shouji\n\nOriginal Creator\n\n', b'\nTakami, Akio\n\nCharacter Design\n\n', b'\nIkeda, Ayumi\n\nColor Design\n\n']
