animeTitle	Pelican Road Club Caroucha
animeType	OVA
animeNumEpisode	1
releaseDate	1986-06-21 00:00:00
endDate	
animeNumMembers	543
animeScore	5.76
animeUsers	157
animeRank	9526
animePopularity	12722
animeDescription	"High School boy Kenichi Watanabe is crazy about his MBX50 motorcycle. He and his buddies organize a motorcycle club, which they call Culture.

"
animeRelated	[]
animeCharacters	['Watanabe, Kenichi', 'Okazaki, Kanako', 'Takagaki, Yoshiniko', 'Nishi, Naoko', 'Shimizu, Toshimitsu', 'Sakura, Emiko']
animeVoices	['Horikawa, Ryo', 'Koyama, Mami', 'Tsuru, Hiromi', 'Shimazu, Saeko', 'Kamiya, Akira', 'Yamada, Eiko']
animeStaff	[['Yamamoto, Eiichi', 'Director, Script'], ['Sasaji, Masanori', 'Music'], ['Nakayama, Katsuichi', 'Key Animation'], ['Silva, Nair', 'ADR Director']]
