animeTitle	Biju Tune!
animeType	Music
animeNumEpisode	Unknown
releaseDate	2013-08-11 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17114
animeDescription	An NHK art-music program. Original songs about a minute in a half in length are presented with a motif tying to a real-life art piece. For example, the first song is Asura Chorus which has a motif of sculpted Asura statues from Buddhism. The program has a very irregular release schedule. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
