animeTitle	All Alone With You
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	9209
animeRank	
animePopularity	4361
animeDescription	"""All Alone With You"" is the fourth single by the music group EGOIST and is used as the second ending theme song of Psycho-Pass. The limited edition release includes a DVD with an animated music video."
animeRelated	['Psycho-Pass']
animeCharacters	['Yuzuriha, Inori']
animeVoices	[]
animeStaff	[['Takahashi, Yuuichi', 'Director'], ['EGOIST', 'Theme Song Performance'], ['ryo', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement']]
