animeTitle	Ojousama☆Yomeiri Kousou!
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	3637
animeRank	
animePopularity	5283
animeDescription	"The story revolves around a transfer student, Mamoru Amakawa. One day he received two love letters: one from Sakura Sumiyoi, daughter of the gang leader who owns the northern half of the city, and the other from Ageha Kurosaki, daughter of the Black Rose mafia leader who rules the southern half of the city. Unfortunately, these two fell in love with him and willing to do anything just to get his affection. How will he cope with these sticky situations?

(Source: Livez Einzweil) "
animeRelated	['Ojousama☆Yomeiri Kousou!']
animeCharacters	['Kurosaki, Ageha', 'Sumiyoi, Sakura']
animeVoices	['Ayabe, Yuika']
animeStaff	[['Kasahara, Shinpei', 'Director']]
