animeTitle	Shounen Ashibe (TV)
animeType	TV
animeNumEpisode	37
releaseDate	1991-04-11 00:00:00
endDate	1991-12-28 00:00:00
animeNumMembers	529
animeScore	
animeUsers	
animeRank	13342
animePopularity	12797
animeDescription	The anime is based on the 4-panel comic strip drawn by Morishita Hiromi and published in Young Jump. The story describes the daily life of Ashibe (an elementary school boy) and his family and friends, including a pet white sea lion.
animeRelated	['Shounen Ashibe', 'Shounen Ashibe 2', 'Shounen Ashibe: Go! Go! Goma-chan', 'Shounen Ashibe: Go! Go! Goma-chan 2', 'Shounen Ashibe: Go! Go! Goma-chan 3']
animeCharacters	['Goma-chan', 'Ashiya, Ashibe']
animeVoices	['Koorogi, Satomi', 'Sakamoto, Chika']
animeStaff	[['Suzuki, Yoshio', 'Episode Director, Storyboard'], ['Ikehata, Takashi', 'Storyboard'], ['Hosoda, Masahiro', 'Storyboard'], ['Morishita, Hiromi', 'Original Creator']]
