animeTitle	b'Master Keaton'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.6
animeUsers	4112
animeRank	
animePopularity	
animeDescription	"b""Taichi Keaton is a half-British half-Japanese archeologist and SAS veteran of the Falklands War. He solves mysteries and investigates insurance fraud for Lloyd's around the world.\n\n(Source: ANN)"""
animeRelated	[b'Master Keaton', b'Master Keaton OVA']
animeCharacters	"[b'Keaton, Taichi', b'Narrator', b'Sofia', b'Hiraga, Taihei', b'Hiraga, Yuriko', b'Funase, Shinsuke', b'Lyman, Flora', b'Chapman, Charlie', b""O'Connell, Daniel"", b'Flora']"
animeVoices	[b'\nInoue, Norihiro\nJapanese\n', b'\nYamada, Keaton\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nMinaguchi, Yuko\nJapanese\n', b'\nSugawara, Masashi\nJapanese\n', b'\nTsuji, Shinpachi\nJapanese\n', b'\nUno, Ayumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTamura, Manabu\n\nProducer\n\n', b'\nKojima, Masayuki\n\nDirector\n\n', b'\nKanbe, Mamoru\n\nEpisode Director\n\n', b'\nMasaki, Shinichi\n\nEpisode Director\n\n']
