animeTitle	Deep Love
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10525
animeDescription	"Based on a cell phone novel series written by Yoshi.

Ayu is a 17-year-old high school student and a prostitute. She has a heinous view of the world, and believes that money is the only important thing. She lives with her boyfriend Kenji, who is a drug-user, and spends her school days with her one and only friend, Reina. One day, a new encounter changes Ayu's life, and she is finally able to find love.

(Source: MAL News)"
animeRelated	['Deep Love: Ayu no Monogatari']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
