animeTitle	Residence
animeType	OVA
animeNumEpisode	3
releaseDate	2017-05-12 00:00:00
endDate	2018-01-12 00:00:00
animeNumMembers	
animeScore	6.8
animeUsers	3244
animeRank	
animePopularity	5720
animeDescription	The series takes place at a special mansion that transforms all who enter into beautiful women. After hearing rumors of a treasure within its walls, a man enters...
animeRelated	['Residence: Yuganda Negai de Shoujo ni Kawaru']
animeCharacters	['Shoujo']
animeVoices	[]
animeStaff	[['Tatsumi', 'Director, Script, Key Animation, Character Design, Animation Director'], ['DATE', 'Original Creator']]
