animeTitle	Daa! Daa! Daa!
animeType	TV
animeNumEpisode	78
releaseDate	2000-03-28 00:00:00
endDate	2002-02-26 00:00:00
animeNumMembers	
animeScore	7.65
animeUsers	9186
animeRank	
animePopularity	3844
animeDescription	"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. 

(Source: ANN)"
animeRelated	['Daa! Daa! Daa!']
animeCharacters	['Saionji, Kanata', 'Ruu', 'Kouzuki, Miyu', 'Wannyaa', 'Hanakomachi, Christine', 'Yaboshi, Seiya', 'Yamamura, Mikan', 'Kurosu, Santa', 'Hikarigaoka, Nozomu', 'Professor Vincent']
animeVoices	['Sanpei, Yuuko', 'Kanai, Mika', 'Nazuka, Kaori', 'Chiba, Chiemi', 'Ikezawa, Haruna', 'Tokita, Hikaru', 'Yamamoto, Taisuke', 'Takiguchi, Junpei']
animeStaff	[['Sakurai, Hiroaki', 'Director'], ['Takashima, Daisuke', 'Episode Director'], ['Kasai, Kenichi', 'Episode Director, Storyboard'], ['Ooba, Hideaki', 'Episode Director']]
