animeTitle	Yahari Ore no Seishun Love Comedy wa Machigatteiru.
animeType	TV
animeNumEpisode	13
releaseDate	2013-04-05 00:00:00
endDate	2013-06-28 00:00:00
animeNumMembers	
animeScore	8.03
animeUsers	688660
animeRank	
animePopularity	81
animeDescription	"Hachiman Hikigaya is an apathetic high school student with narcissistic and semi-nihilistic tendencies. He firmly believes that joyful youth is nothing but a farce, and everyone who says otherwise is just lying to themselves. 

In a novel punishment for writing an essay mocking modern social relationships, Hachiman's teacher forces him to join the Volunteer Service Club, a club that aims to extend a helping hand to any student who seeks their support in achieving their goals. With the only other club member being the beautiful ice queen Yukino Yukinoshita, Hachiman finds himself on the front line of other people's problems—a place he never dreamed he would be. As Hachiman and Yukino use their wits to solve many students' problems, will Hachiman's rotten view of society prove to be a hindrance or a tool he can use to his advantage?

[Written by MAL Rewrite]"
animeRelated	['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku']
animeCharacters	['Hikigaya, Hachiman', 'Yukinoshita, Yukino', 'Yuigahama, Yui', 'Hiratsuka, Shizuka', 'Totsuka, Saika', 'Hikigaya, Komachi', 'Kawasaki, Saki', 'Yukinoshita, Haruno', 'Hayama, Hayato', 'Zaimokuza, Yoshiteru']
animeVoices	['Eguchi, Takuya', 'Hayami, Saori', 'Touyama, Nao', 'Yuzuki, Ryouka', 'Komatsu, Mikako', 'Yuuki, Aoi', 'Koshimizu, Ami', 'Nakahara, Mai', 'Kondou, Takashi', 'Hiyama, Nobuyuki']
animeStaff	[['Yoshimura, Ai', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Kawamura, Tomoyuki', 'Episode Director, Storyboard'], ['Nakano, Hideaki', 'Episode Director, Storyboard']]
