animeTitle	Sugata Sanshirou
animeType	Special
animeNumEpisode	1
releaseDate	1981-06-08 00:00:00
endDate	
animeNumMembers	545
animeScore	
animeUsers	
animeRank	13581
animePopularity	12723
animeDescription	"In the year 1882, Sanshirou comes to Tokyo seeking for a worthy martial arts teacher. There, he meets Yano - a judo master who single-handedly defeats 39 jujitsu practitioners. Extremely impressed by his skill, Sanshirou decides to become his disciple. Later, Sanshirou falls for Sayo Murai - a girl whose father is a martial arts instructor at the local police department; and he also has to face Higaki Gennosuke, a skilled jujitsu fighter and his greatest rival.

Based on a novel by Tsuneo Tomita, which was adapted into a 1943 movie by young Akira Kurosawa.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
