animeTitle	Sore Ike! Anpanman: Inochi no Hoshi no Dolly
animeType	Movie
animeNumEpisode	1
releaseDate	2006-07-15 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14831
animeDescription	"The annual Star Festival to honor the stars that bring life is drawing nearer. Anpanman finds an abandoned doll who is brought to life by a Star of Life. The doll, now named Dolly, spends all of her time having fun, convinced that enjoying oneself is the meaning of life. However, her Star of Life is starting to disappear, and Baikinman builds a huge robot inspired by memories of his own birth.

(Source: ANN)"
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Shokupanman', 'Melonpanna', 'Oji-san, Jam', 'Dolly']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Shimamoto, Sumi', 'Kanai, Mika', 'Masuoka, Hiroshi', 'Adachi, Yumi']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Konparu, Tomoko', 'Screenplay'], ['Maeda, Minoru', 'Animation Director, Character Design']]
