animeTitle	Queen Emeraldas
animeType	OVA
animeNumEpisode	4
releaseDate	1998-06-05 00:00:00
endDate	1999-12-18 00:00:00
animeNumMembers	6381
animeScore	6.85
animeUsers	2255
animeRank	4390
animePopularity	6349
animeDescription	"The story revolves around a race that seeks to dominate the galaxy. A lone mysterious female warrior, known to others as Emeraldas sails the endless planets of the universe- in her Seas of Star ship- fighting the tyranny of that merciless race. She is tormented by the memory of her lost love.

(Source: ANN)"
animeRelated	['Queen Emeraldas', 'Maetel Legend', 'Waga Seishun no Arcadia', 'Torajima no Miime', 'Zero Seiki Movie 1: Emeraldas']
animeCharacters	['Emeraldas', 'Umino, Hiroshi', 'Captain Herlock', 'Maetel', 'Ooyama, Tochirou', 'Siren', 'Lucille', 'Row, Lou', 'Lameil', 'Vaidas']
animeVoices	['Tajima, Reiko', 'Hayashibara, Megumi', 'Inoue, Makio', 'Yamadera, Kouichi', 'Takashima, Gara', 'Shimizu, Kaori', 'Yuuki, Hiro', 'Ootsuka, Akio']
animeStaff	[['Asada, Yuuji', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Matsumoto, Leiji', 'Original Creator'], ['Oshima, Michiru', 'Music']]
