animeTitle	Fate/Grand Order
animeType	Special
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	7.46
animeUsers	4458
animeRank	
animePopularity	3441
animeDescription	Assorted commercials and collaborations for the Fate/Grand Order mobile RPG. These short animations are posted to Type-Moon's official YouTube channel and advertise the game itself or promote a new game event (eg. Dead Heat Summer Race! for summer 2017). The animation is unique to these commercials and is not present in the mobile game nor in the TV special of Fate/Grand Order.
animeRelated	['Fate/Grand Order: First Order', 'Fate/Grand Order: Zettai Majuu Sensen Babylonia', 'Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram', 'Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram']
animeCharacters	['Kyrielight, Mash', 'Fujimaru, Ritsuka', 'Saber', 'Kuro no Rider', 'Aka no Saber', 'Ruler', 'Aka no Lancer', 'Ushiwakamaru', 'Scáthach']
animeVoices	[]
animeStaff	[['Type-Moon', 'Original Creator']]
