animeTitle	Mangaka-san to Assistant-san to The Animation Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	24195
animeRank	
animePopularity	2578
animeDescription	Specials released with the Blu-ray/DVD volumes.
animeRelated	['Mangaka-san to Assistant-san to The Animation']
animeCharacters	['Aito, Yuuki', 'Ashisu, Sahoto', 'Kuroi, Sena', 'Otosuna, Mihari', 'Fuwa, Rinna', 'Branya', 'Minano, Matome', 'Ashisu, Sahono']
animeVoices	['Matsuoka, Yoshitsugu', 'Hayami, Saori', 'Kugimiya, Rie', 'Noto, Arisa', 'Iguchi, Yuka', 'Tanaka, Manami', 'Itou, Miku']
animeStaff	[['Furuta, Jouji', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['StylipS', 'Theme Song Performance'], ['Hiroyuki', 'Original Creator, Original Character Design']]
