animeTitle	World Calling
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	897
animeRank	
animePopularity	10001
animeDescription	Music video from the IA x JIN project.
animeRelated	['Nihonbashi Koukashita R Keikaku']
animeCharacters	['IA']
animeVoices	[]
animeStaff	[['Jin', 'Theme Song Arrangement, Theme Song Lyrics, Theme Song Composition'], ['IA', 'Theme Song Performance'], ['Bahi JD', 'Key Animation'], ['Tomioka, Jirou', 'Character Design']]
