animeTitle	b'Futari Ecchi'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	15631
animeRank	
animePopularity	
animeDescription	"b'Makoto and Yura Onoda are a newly-wed couple with zero sexual experience. Yura is a shy and naive 25-year-old woman whose good looks grab men\'s attention, something that she dislikes because she gets embarrassed very easily. Her husband Makoto is of the same age, but as opposed to his wife, he loves having dirty thoughts about other women. Physically though, Makoto is truly faithful to Yura.\n\nBoth of them may be virgins, but now that they are married, they are ready to dive into the world of sex, ""practicing"" as often as possible. However, the world of sex is complex, so they need all the help they can get to find their way through it. Thankfully, their friends, acquaintances, and porn media lend them a helping hand.'"
animeRelated	[b'Futari Ecchi', b'Futari Ecchi (2014)']
animeCharacters	[b'Onoda, Yura', b'Onoda, Makoto', b'Kawada, Rika', b'Onoda, Jun', b'Onoda, Akiko', b'Yabuki, Takeshi', b'Kikuchi, Miyuki', b'Matsuzaki, Kyouko', b'Yamada, Taku', b'Tonegawa, Ikuyo']
animeVoices	[b'\nKawakami, Tomoko\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nTakano, Naoko\nJapanese\n', b'\nHyo-sei\nJapanese\n', b'\nAsou, Tomohisa\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n', b'\nTouma, Yumi\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n', b'\nSugimoto, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMoriyama, Yuuji\n\nDirector\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nKonaka, Chiaki\n\nScript\n\n', b'\nKatsu, Aki\n\nOriginal Creator\n\n']
