animeTitle	Gakuen 2
animeType	OVA
animeNumEpisode	2
releaseDate	2007-06-29 00:00:00
endDate	2008-06-27 00:00:00
animeNumMembers	
animeScore	6.31
animeUsers	1244
animeRank	
animePopularity	7536
animeDescription	"Due to a school conspiracy, Tetsuya is forced to drop out of school. In order to satisfy his need for revenge, Tetsuya needs to get his hands on Haruna, the principal's daughter. However, to do that, he needs another to girl to lure Haruna out. That's where Ayano comes in...

(Source: AniDB) "
animeRelated	['Gakuen 2: Ingyaku no Zushiki', 'Gakuen: Chijoku no Zushiki', 'Gakuen 3']
animeCharacters	['Tetsuya,  Kawamura']
animeVoices	[]
animeStaff	[['Kimura, Takeshi', 'Director']]
