animeTitle	Tanpen Animation Junpei Fujita
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15752
animeDescription	"A special airing at the Meguro Museum of Art in Tokyo of three animation shorts created by Junpei Fujita during his school days, using three different animation techniques.

1. The Seasons (2 min; animation)
2. Eaten Up Planet (30 min;  rotary animation)
3. Insane Ice (48 min; pixilation & animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
