animeTitle	b'Cardfight!! Vanguard G: Z'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	2536
animeRank	
animePopularity	
animeDescription	b'Fourth season of Cardfight!! Vanguard G series.'
animeRelated	[b'Cardfight!! Vanguard G: Next']
animeCharacters	[b'Shindou, Chrono', b'Kanzaki, Yuuichirou', b'Sendou, Aichi', b'Kai, Toshiki', b'Tokura, Misaki', b'Anjou, Tokoha', b'Ibuki, Kouji', b'Katsuragi, Kamui', b'Shouji, Kazuma', b'Asukawa, Taiyou']
animeVoices	[b'\nIshii, Mark\nJapanese\n', b'\nYonaga, Tsubasa\nJapanese\n', b'\nSatou, Takuya\nJapanese\n', b'\nKitta, Izumi\nJapanese\n', b'\nAiba, Aina\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nIshikawa, Shizuka\nJapanese\n', b'\nBatori, Shougo\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSuzuki, Yuuji\n\nEpisode Director, Storyboard\n\n', b'\nItou, Fumio\n\nEpisode Director, Storyboard\n\n', b'\nMajima, Takahiro\n\nEpisode Director\n\n', b'\nRoselia\n\nTheme Song Performance\n\n']
