animeTitle	b'Sei Brunehilde Gakuen Shoujo Kishidan to Junpaku no Panty The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	5176
animeRank	
animePopularity	
animeDescription	"b'Games of knights who wore armor ""Armor armed battle"" it is performed in a prosperous school, the king and the knight are campus festival ""MWF (Middle war festival)"". Win having been previously promised, dance in (Dress) dance party that becomes festival at night forgiven only to king and knights pairs School regulations addition privilege. Girls that everything is elegant ""Girl knight"", the fight over me! By the dormitory life that a man is alone in girls only, a campus life only not elegant starts!!?'"
animeRelated	[b'Saint Brunehilde Gakuen Shoujo Kishidan to Junpaku no Panty: Kacchuu Ojousama no Zecchou Omorashi']
animeCharacters	[b'Miyako, Ruriko', b'Kabuto', b'Clarice', b'Kabuto, Fujiko', b'Shibazakura, Sumomo', b'Mitsurugi, Sachi', b'Elise']
animeVoices	[b'\nMizusawa, Kei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshige, Rui\n\nDirector, Episode Director, Script, Storyboard, Key Animation, Animation Director, Character Design\n\n', b'\nOgin\xe2\x98\x85bara\n\nOriginal Character Design\n\n', b'\nOne-up\n\nOriginal Creator\n\n']
