animeTitle	Black Clover: Jump Festa 2016 Special
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.75
animeUsers	15953
animeRank	
animePopularity	3059
animeDescription	An OVA episode bundled with the 11th manga volume.
animeRelated	['Black Clover']
animeCharacters	['Asta', 'Yuno', 'Aquaria, Lily', 'Mars', 'Salik, Revchi', 'Narrator', 'Aruru', 'Orfai, Orsi', 'Nash', 'Recca']
animeVoices	['Horie, Shun', 'Saitou, Souma', 'Kayano, Ai', 'Ishikawa, Kaito', 'Aoyama, Yutaka', 'Ishizuka, Unshou', 'Yamamoto, Nozomi', 'Ueda, Youji', 'Ishigami, Shizuka', 'Oogame, Asuka']
animeStaff	[['Noto, Takashi', 'Director'], ['angela', 'Theme Song Performance'], ['Tabata, Yuuki', 'Original Creator'], ['Mori, Yuya', 'Music']]
