animeTitle	Neko Neko Fantasia
animeType	OVA
animeNumEpisode	1
releaseDate	1991-12-13 00:00:00
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	348
animeRank	
animePopularity	11556
animeDescription	"""Shiro"" is a black cat who loves her family very much. She loves them so much she wants to help them out in times of need and trouble…but it’s difficult to do this if she’s just a cat. So one night, she wishes on the moon to make her able to help, and the next day, she has turned into a human girl.

(Source: AniDB)"
animeRelated	['Neko Neko Fantasia']
animeCharacters	['Shiro', 'Satoko', 'Kagawa, Takahiro', 'Papa', 'Mama']
animeVoices	['Watanabe, Naoko', 'Inoue, Kikuko', 'Nakahara, Shigeru', 'Naya, Rokurou', 'Ikeda, Masako']
animeStaff	[['Nishimori, Akira', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Terada, Kenji', 'Script'], ['Fukuda, Kazuya', 'Art Director']]
