animeTitle	b'Anger'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.17
animeUsers	304
animeRank	
animePopularity	
animeDescription	b'This is the first original VOCALOID song by Tripshots. The WIP version without PV was uploaded on December 12, 2007 on Nicovideo. The full version was released some five months later.\n\n(Source: Vocaloid Wiki)'
animeRelated	[]
animeCharacters	[b'Hatsune, Miku']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTripshots\n\nDirector, Music\n\n', b'\nHatsune, Miku\n\nTheme Song Performance\n\n']
