animeTitle	b'Marie & Gali'
animeType	b'TV'
animeNumEpisode	40
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	578
animeRank	
animePopularity	
animeDescription	b'Marika is a gothic lolita who somehow ends up in the mysterious town  of Galihabara. There she meets different famous scientists like Galileo Galilei, Marie Sk\xc5\x82odowska Curie and Sir Isaac Newton.'
animeRelated	[b'Marie & Gali Episode Zero', b'Marie & Gali Special', b'Marie & Gali ver. 2.0']
animeCharacters	[b'Marika', b'Pet', b'Galilei, Galileo', b'Darwin, Charles', b'Hertz, Heinrich', b'Newton, Isaac', b'Edison, Thomas', b'da Vinci, Leonardo', b'Archimedes', b'Fleming, John Ambrose']
animeVoices	[b'\nChiba, Chiemi\nJapanese\n', b'\nCho\nJapanese\n', b'\nFujita, Yoshinori\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nTamaki, Yuuki\nJapanese\n', b'\nTanonaka, Isamu\nJapanese\n', b'\nNishimura, Tomomichi\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nBogdan, Gyarmath\n\nProducer\n\n', b'\nMatsumoto, Rie\n\nEpisode Director, Storyboard\n\n', b'\nYamada, Takashi\n\nScript\n\n', b'\nKakudou, Hiroyuki\n\nStoryboard\n\n']
