animeTitle	To Heart
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	8422
animeRank	
animePopularity	3682
animeDescription	"For as long as Akari can remember, she and Hiroyuki have always been friends. But with time, everything changes, and her feelings have turned into something more. As a new semester of high school begins, will the two childhood friends come closer together or drift further apart? Join Hiroyuki, Akari and all their friends—the bubbly Shiho, the quiet Serika, the lovely Kotone, and more—in this heartwarming tale of love, relationships and friendship!

(Source: RightStuf)"
animeRelated	['To Heart', 'To Heart 2', 'To Heart: Remember My Memories', 'To Heart Omake']
animeCharacters	['Kamigishi, Akari', 'Fujita, Hiroyuki', 'Nagaoka, Shiho', 'HMX-12, Multi', 'Kurusugawa, Serika', 'Miyauchi, Lemmy', 'Hoshina, Tomoko', 'Matsubara, Aoi', 'Himekawa, Kotone', 'Kurusugawa, Ayaka']
animeVoices	['Kawasumi, Ayako', 'Ichijo, Kazuya', 'Higuchi, Chieko', 'Horie, Yui', 'Iwao, Junko', 'Kasahara, Rumi', 'Hisakawa, Aya', 'Iizuka, Mayumi', 'Hikami, Kyouko']
animeStaff	[['Takahashi, Naohito', 'Director, Storyboard'], ['Watanabe, Jun', 'Sound Director'], ['Iwasaki, Yoshiaki', 'Storyboard'], ['Kawasumi, Ayako', 'Theme Song Performance']]
