animeTitle	Akagami no Shirayuki-hime 2nd Season
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.98
animeUsers	160925
animeRank	
animePopularity	580
animeDescription	"Shirayuki and Zen Wistalia have finally confirmed their romantic feelings for each other, and everyone has resumed their daily lives. Shirayuki remains an apprentice court herbalist at the royal palace of Clarines, and Zen continues his duties alongside his aides.

However, their daily routines are disrupted when Crown Prince Izana, Zen’s older brother, receives an invitation from Raji Shenazard, the prince of Tanbarun. The herbalist finds herself ordered to go to Tanbarun for seven days, to build a new friendship with the formerly selfish and haughty ruler who once ordered Shirayuki to become his concubine. Along the way, Shirayuki is bound to run into trouble once again, as she is sought by a mysterious boy named Kazuki, someone she has never met.

[Written by MAL Rewrite]"
animeRelated	['Akagami no Shirayuki-hime', 'Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page']
animeCharacters	['Shirayuki', 'Obi', 'Wistalia, Zen', 'Seiran, Kiki', 'Rouen, Mitsuhide', 'Ryuu', 'Wistalia Clarines, Izana', 'Shenazard, Raji', 'Gazelt, Garack', 'Kazuki']
animeVoices	['Hayami, Saori', 'Okamoto, Nobuhiko', 'Oosaka, Ryouta', 'Nazuka, Kaori', 'Umehara, Yuuichirou', 'Sanpei, Yuuko', 'Ishida, Akira', 'Fukuyama, Jun', 'Kaida, Yuuko', 'Kokuryu, Sachi']
animeStaff	[['Andou, Masahiro', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Anzai, Takefumi', 'Episode Director, Storyboard'], ['Marchi, Jamie', 'Script']]
