animeTitle	Konjiki no Gash Bell!!: 101 Banme no Mamono
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	3525
animeRank	
animePopularity	5897
animeDescription	During the Summer holidays, Gash and gang decide to head for Fuji Mountain for a picnic gathering. There, they encounter a girl with a white magical book. Her name is Kotoha and her book has a message saying that Gash's mother is located a cave in the forest. However, when they eventually found the cave, there was already a blond-haired youth by the name of Wiseman. In order to rescue Wiseman, Gash and the others attempt to proceed into the depths of the cave and stumble upon the entrance to another world. Soon later, the strongest warrior, the Black Knight, appeared before them. Thinking that Gash was the one who stole the 101th magical book, the Black Knight started to attack them. Gash and Kiyomaro have to find the real criminal in exactly 24 hours, or else they will be stuck in the alternative world forever.
animeRelated	['Konjiki no Gash Bell!!']
animeCharacters	['Bell, Gash', 'Takamine, Kiyomaro', 'Umagon', 'Kanchomé', 'Tio', 'Kotoha', 'Wiseman', 'Folgore, Parco', 'Brago', 'Belmont, Sherry']
animeVoices	['Ootani, Ikue', 'Sakurai, Takahiro', 'Koorogi, Satomi', 'Kikuchi, Masami', 'Kugimiya, Rie', 'Yajima, Akiko', 'Morikawa, Toshiyuki', 'Takahashi, Hiroki', 'Kojima, Kazunari']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Shimizu, Junji', 'Director'], ['Ueto, Aya', 'Theme Song Performance'], ['Tanimoto, Takayoshi', 'Theme Song Performance']]
