animeTitle	Xiao Men Shen
animeType	Movie
animeNumEpisode	1
releaseDate	2016-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	277
animeRank	
animePopularity	12127
animeDescription	"There's a crisis in the Chinese Spirit World -- humans don't believe in gods anymore! A Door God, facing unemployment, ventures into the human world to prove his worth, leading to unexpected encounters and transformations for humans and spirits alike. 

(Source: IMDb)"
animeRelated	['Xiao Yeyou']
animeCharacters	['Yu Lei', 'Shen Lu']
animeVoices	[]
animeStaff	[]
