animeTitle	Ninin ga Shinobuden
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	14172
animeRank	
animePopularity	3205
animeDescription	"Kaede is a normal school girl who was studying for her exams for school when suddenly she is interrupted by Shinobu, a girl who is a ninja-in-training, attempting to complete her exam. The problem is, in order for her to successfully complete her exam, she must steal one of Kaede's panties!

In Kaede's attempt to stop Shinobu from stealing her panties, an unexpected friendship is forged between the two. Kaede soon becomes engrossed in Shinobu's world, surrounded by partying ninjas and a yellow pac-man like thing by the name of Onsokumaru, who claims to be the master of all ninjas!

[Written by MAL Rewrite]"
animeRelated	['Ninin ga Shinobuden']
animeCharacters	['Onsokumaru', 'Sasuke', 'Shinobu', 'Shiranui, Kaede', 'Miyabi', 'Takeru', 'Izumi', 'Shiranui, Kaori', 'Sodom', 'Midori']
animeVoices	['Wakamoto, Norio', 'Seki, Tomokazu', 'Mizuki, Nana', 'Kawasumi, Ayako', 'Kugimiya, Rie', 'Kobayashi, Yumiko', 'Neya, Michiko', 'Natsuki, Rio', 'Iwata, Mitsuo', 'Saitou, Chiwa']
animeStaff	[['Matsui, Hitoyuki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Sotozaki, Haruo', 'Episode Director, Storyboard, Animation Director, Key Animation, Series Production Director'], ['Terahigashi, Katsumi', 'Episode Director, Storyboard']]
