animeTitle	Toruru's Adventure
animeType	Movie
animeNumEpisode	1
releaseDate	2014-03-21 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16313
animeDescription	"The story centers on Toruru, as he searches for his younger sister Haruru, through multiple dimensions with the help of the NaSuBi. This anime short features different directors for worlds Toruru visits:

Dimension One: Time Master directed by Tatsuyuki Tanaka (Tojin Kit, Digital Juice)
Dimension Two: Crazy Consumption directed by Sayo Yamamoto (Wooser's Hand-to-Mouth Life)
Dimension Three: The Last of the Flowers directed by Tomoyuki Niho (Birdy the Mighty: Decode)
Dimension Four: The Door to the Future directed by Takashi Nakamura (Catnapped! The Movie)

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
