animeTitle	Miru Tights
animeType	ONA
animeNumEpisode	12
releaseDate	2019-05-11 00:00:00
endDate	2019-07-27 00:00:00
animeNumMembers	91727
animeScore	6.52
animeUsers	37865
animeRank	6033
animePopularity	1737
animeDescription	"Light showers accompany falling cherry blossoms as they flood the view of another April morning, marking the start of a new school year for students Homi Moegi, Ren Aikawa, and Yua Nakabeni. Discovering that they all share the same class, the three playfully reunite as the new semester begins.

Starting another important time of their lives, the girls deepen their friendship through laughter, happiness, sadness, and all other struggles that come their way—all the while wearing dazzling, silky nylon tights.

[Written by MAL Rewrite]"
animeRelated	['Miru Tights: Cosplay Satsuei Tights']
animeCharacters	['Nakabeni, Yua', 'Aikawa, Ren', 'Moegi, Homi', 'Okuzumi, Yuiko', 'Bar Master', 'Moegi, Rui']
animeVoices	['Hikasa, Youko', 'Tomatsu, Haruka', 'Suzaki, Aya', 'Kayano, Ai', 'Ootsuka, Houchuu', 'Fujiwara, Natsumi']
animeStaff	[['Oogami, Yuuma', 'Producer, Planning'], ['Ogawa, Yuuki', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Aiura, Kazuya', 'Episode Director']]
