animeTitle	b'Masamune-kun no Revenge'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	384433
animeRank	
animePopularity	
animeDescription	"b""When Masamune Makabe was a child, he was rejected by a rich, beautiful girl named Aki Adagaki, who gave him the nickname ''Piggy'' for being overweight. Devastated, Masamune put great effort into working out to improve his appearance. Now a handsome yet narcissistic high school student, Masamune is determined to exact revenge\xe2\x80\x94he will have Aki fall madly in love with him and ultimately reject her the next time they meet.\n\nTo his surprise, Masamune discovers he has transferred into Aki's school. Setting his plan into motion, Masamune first begins to form a relationship with the ''Brutal Princess'' but, despite his efforts, fails miserably at his initial attempts. Shockingly, when Masamune finally progresses towards his vengeance, he receives a mysterious letter addressing him by his old nickname. Unless Masamune discovers the sender's identity, his plan is doomed before it even starts!\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Masamune-kun no Revenge', b'Masamune-kun no Revenge OVA']
animeCharacters	[b'Adagaki, Aki', b'Makabe, Masamune', b'Fujinomiya, Neko', b'Koiwai, Yoshino', b'Shuri, Kojuurou', b'Hayase, Kinue', b'Futaba, Tae', b'Kiba, Kikune', b'Hayase, Chinatsu', b'Kaneko, Sonoka']
animeVoices	[b'\nOhashi, Ayaka\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nMinase, Inori\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nOgura, Yui\nJapanese\n', b'\nTadokoro, Azusa\nJapanese\n', b'\nItou, Kanae\nJapanese\n', b'\nOogame, Asuka\nJapanese\n', b'\nIse, Mariya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKisara, Youhei\n\nProducer\n\n', b'\nMinato, Mirai\n\nDirector\n\n', b'\nKameyama, Toshiki\n\nSound Director\n\n', b'\nNeves, Emily\n\nScript\n\n']
