animeTitle	Good-by Elvis and USA
animeType	Movie
animeNumEpisode	1
releaseDate	1971-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	3.05
animeUsers	773
animeRank	
animePopularity	10588
animeDescription	"A chaotic mixture of hand-drawn animation and magazine cut-outs appropriating American pop culture. With a soundtrack involving music and sounds played in reverse, iconography of war and pop culture are intercut or merged together with images of eroticism and consumption. The film screened at the 3rd Sogetsu Animation Festival 1971.

(Source: Collaborative Cataloging Japan)"
animeRelated	[]
animeCharacters	['Presley, Elvis']
animeVoices	[]
animeStaff	[['Tanaami, Keiichi', 'Director'], ['Presley, Elvis', 'Music']]
