animeTitle	Neko Neko Gong Show
animeType	ONA
animeNumEpisode	6
releaseDate	2015-08-13 00:00:00
endDate	2015-11-16 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17098
animeDescription	A collaboration between Kihara Yousuke and studio dwarf. Kihara is most famous for being the head artist for the PS2/GameCube game Ribbit King and the anime Nikoniko♪Connie-chan. Neko Neko Gong Show is a talent show for cats, where if their skits are bad, get a gong (made from a cat food tin can lid) hit to boot them off.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
