animeTitle	High Score
animeType	TV
animeNumEpisode	8
releaseDate	2011-11-28 00:00:00
endDate	2012-01-30 00:00:00
animeNumMembers	
animeScore	5.58
animeUsers	3560
animeRank	
animePopularity	5911
animeDescription	A school comedy with violent and blue jokes. Fujiwara Megumi is a beautiful high school girl but has a selfish and violent character. She has a boyfriend named Matsumoto Masamune, but she often goes around with other boys, who end up as victims due to her selfish behavior.
animeRelated	['High Score']
animeCharacters	['Fujiwara, Megumi', 'Matsumoto, Masamune', 'Tachibana, Kaori', 'Matsumoto, Emika', 'Masuda, Kyousuke', 'Fujiwara, Kyouko', 'Tokiwazu, Jiro', 'Yuuki, Sayo', 'Fujiwara, Reiji', 'Hashiba, Izumi']
animeVoices	['Kitamura, Eri', 'Konishi, Katsuyuki', 'Hayama, Ikumi', 'Kobayashi, Yuu', 'Sakurai, Takahiro', 'Endou, Aya', 'Kakihara, Tetsuya', 'Ono, Yuuki']
animeStaff	[['Kurihara, Hajime', 'Director'], ['Tani, Azuma', 'Series Composition']]
