animeTitle	I Love Sky
animeType	Special
animeNumEpisode	1
releaseDate	2004-01-01 00:00:00
endDate	
animeNumMembers	437
animeScore	5.48
animeUsers	235
animeRank	10432
animePopularity	13328
animeDescription	The original short that the first episode of the Backkom the TV series uses its material from. The short is composed of two parts, Backkom skydiving into cow poop and Backkom skydiving into cactuses.  
animeRelated	['Backkom', 'I Love Picnic']
animeCharacters	['Bear, Bernard']
animeVoices	[]
animeStaff	[]
