animeTitle	Pororo's English Show
animeType	TV
animeNumEpisode	13
releaseDate	2013-01-01 00:00:00
endDate	
animeNumMembers	206
animeScore	
animeUsers	
animeRank	12832
animePopularity	15942
animeDescription	A musical style season like Pororo-wa Noraehaeyo but the cast speaks entirely English with the original English dub cast as a way to teach English to native Korean Children.
animeRelated	['Porong Porong Pororo 4']
animeCharacters	['Pororo']
animeVoices	[]
animeStaff	[]
