animeTitle	JK Meshi!
animeType	TV
animeNumEpisode	26
releaseDate	2015-10-06 00:00:00
endDate	2016-03-29 00:00:00
animeNumMembers	10555
animeScore	4.61
animeUsers	3268
animeRank	11797
animePopularity	5197
animeDescription	"Three high school girls have mastered the art of cooking simple, B-class dishes called JK meshi. The three girls — Reina, Ryouka, and Ruriko — are all classmates in their second year of high school. They often get distracted when studying for tests, and when they do, they cook JK meshi.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Igarashi, Ruriko', 'Asahina, Ryouka', 'Saeki, Reina', 'Ono-chan']
animeVoices	['Tokui, Sora', 'Fujita, Nao', 'Hara, Natsuko', 'Kuwayama, Kotone']
animeStaff	[['Mitani, Yasumichi', 'Director'], ['Hino, Tommy', 'Director'], ['Hosoi, Takafumi', 'Sound Effects, Music'], ['Matsumoto, Michiko', 'Animation Director']]
