animeTitle	Huo Feng Liao Yuan
animeType	ONA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	392
animeScore	
animeUsers	
animeRank	
animePopularity	13685
animeDescription	"Nearly 2000 years ago, the prosperous Han Dynasty of China collapsed. Heroes rose and fell, and three nations emerged—Wei, Shu, and Wu. Historians refer to this period as the Three Kingdoms period. The romance of the three kingdoms is an intriguing tale of heroic deeds, of alliance forged and broken, of loyalty and betrayal.

(Source: MU)"
animeRelated	['The Ravages of Time']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
